quote,year,observations,avg_rate,start_rate,end_rate,annual_change_pct,volatility_pct,min_rate,max_rate
TZS,2023,365,2412.0123561643836,2328.49,2513.86,7.960953235788026,0.1458179209189319,2326.72,2514.7
TZS,2024,366,2609.720382513661,2512.65,2420.76,-3.6570950988000672,0.4705697743876956,2324.07,2728.48
TZS,2025,365,2549.054794520548,2418.53,2456.47,1.5687214961153995,0.3372710117986322,2415.39,2693.68
TZS,2026,245,2591.655551020408,2456.77,2641.13,7.504161968763867,0.1642810667881775,2456.77,2645.94
UGX,2015,364,3248.949725274725,2781.64,3395.03,22.051379761579515,0.574457728019513,2781.64,3714.99
UGX,2016,366,3433.344918032787,3394.81,3614.94,6.484309873012051,0.25425815970518933,3325.81,3653.81
UGX,2017,365,3625.900904109589,3619.68,3642.47,0.6296136675065123,0.11115209049603009,3593.12,3684.34
UGX,2018,365,3743.367287671233,3646.2,3728.91,2.268389007734073,0.19819614757829912,3635.98,3912.1
UGX,2019,365,3720.7965479452055,3728.41,3687.6,-1.0945684621594731,0.13342403198754463,3673.76,3791.0
UGX,2020,366,3734.876666666667,3687.81,3673.11,-0.3986105574853349,0.20223334056639247,3659.05,3920.27
UGX,2021,365,3603.0810958904112,3675.52,3553.69,-3.314633031516623,0.14711146069709036,3535.11,3726.68
UGX,2022,365,3706.456630136986,3557.13,3728.78,4.8255194496686915,0.2935589019805427,3500.06,3898.84
UGX,2023,365,3742.1864383561647,3730.26,3796.52,1.7762836906810797,0.2188548840473621,3626.93,3844.4
UGX,2024,366,3772.3795355191255,3797.82,3686.08,-2.9422142176301236,0.1798293347891624,3651.51,3964.45
UGX,2025,365,3610.4047397260274,3687.13,3619.53,-1.8334043009061274,0.22393823538992977,3433.64,3719.9
UGX,2026,245,3688.6915918367345,3619.56,3777.85,4.373183480865084,0.35706962988239854,3456.68,3787.26
ZAR,2015,365,12.760927123287672,11.5822,15.531,34.09369549826457,0.5862956506344117,11.3412,15.6282
ZAR,2016,366,14.706168306010929,15.5544,13.6997,-11.923957208249746,0.7886436341827646,13.2905,16.8065
ZAR,2017,365,13.3146698630137,13.7008,12.3381,-9.946134532290074,0.5630098115980062,12.3381,14.4396
ZAR,2018,365,13.245504931506849,12.3385,14.4001,16.708676095149322,0.6322123440811273,11.5759,15.4355
ZAR,2019,365,14.448530958904112,14.392,14.0432,-2.4235686492495745,0.487936746012931,13.3117,15.3653
ZAR,2020,366,16.459309836065575,14.0404,14.6535,4.366684709837321,0.6197461527455743,14.0355,19.0236
ZAR,2021,365,14.783108219178082,14.659,15.9142,8.56265775291629,0.5189665567248526,13.5015,16.1642
ZAR,2022,365,16.367355616438356,15.9212,16.9703,6.5893274376303435,0.541567079489319,14.515,18.3858
ZAR,2023,365,18.440915616438357,16.9697,18.4393,8.66014131068904,0.5315548561622677,16.8114,19.7493
ZAR,2024,366,18.318059289617487,18.4265,18.7907,1.9765012346349087,0.39032509946629007,17.1405,19.2845
ZAR,2025,365,17.87463726027397,18.809,16.5892,-11.801797012068683,0.3650477587926681,16.5892,19.6277
ZAR,2026,245,16.383568979591836,16.5791,16.1158,-2.79448220952887,0.42956698711387553,15.7474,17.142
